TechnicalDescription,failure_reason
Direct mapping to EventDateTime column in Cases table coming from DFM Events data processed by Cornerstone source having timestamp(UTC) values.,Missing source info
"Derived by applying decode logic on ServiceName_ARRS,ServicePackageSKU_ARRS,ServicePackageName_ARRSP, Severity  columns in FactSRSupportData table coming from Commercial NRT Datamart within SA&DP and CommercialProductLevel3Name column in DimPESProduct table coming from Commercial NextDay Datamart within SA&DP.

Logic: WHEN ServiceName_ARRS AND ServicePackageSKU_ARRS IS NOT NULL AND CommercialProductLevel3Name = 'azure tech' THEN 'ARR_PMC' 
WHEN ServicePackageName_ARRSP = 'arr critical prh' AND Severity IN ( '1' ,'2','a') AND CommercialProductLevel3Name = 'azure tech' THEN 'T100'
WHEN ServicePackageName_ARRSP IS NOT NULL AND CommercialProductLevel3Name = 'azure tech' THEN 'ARR Commercial'
ELSE 'Unknown' END AS ARRType",Transformation logic
Direct mapping to AgentId column in Cases table coming from DFM Events data processed by Cornerstone having integer values.,Missing source info
Direct Mapping to id  column in EmailInteraction table coming from DFM Events data processed by Cornerstone having string values.,Missing source info
Direct Mapping to RoutingContextId column in EscalationTask table coming from DFM Events data processed by Cornerstone having alphanumeric values.,Missing source info
Direct Mapping to State column  from FollowUpTask table coming from DFM Events data processed by Cornerstone having string values.,Missing source info
Direct Mapping to EntityType column in CollaborationTask table coming from DFM Events data processed by Cornerstone having string values.,Missing source info
Direct Mapping to UpdatedOn  column in Labor table coming from DFM Events data processed by Cornerstone having timestamp values in UTC.,Missing source info
"Derived by applying decode logic on Skillids column in SupportRequestDetails_NRT intermediate table (refer entity desc for SupportRequestDetails_NRT table derivation).
Logic: CASE WHEN skillids LIKE '%393216%' THEN hardcoded as 'Premier skill' 
WHEN skillids LIKE '%589824%' THEN hardcoded as 'Premier Escalation skill'
WHEN skillids LIKE '%589825%' THEN hardcoded as  'CritSit skill' ELSE 'Other' END AS SkillType",Transformation logic
"Derived by applying decode logic on IsEUSchrems column in PhoneInteraction table loaded from DFM Events data processed by Cornerstone.
Logic: If  IsEUSchrems =  'eu' THEN TRUE ELSE FALSE END AS IsEUSchrems",Transformation logic
"Derived by applying decode logic on MinutesPastSLA column in FactSREvents.
Logic: Assigns priority levels based on predefined thresholds of MinutesPastSLA.",Transformation logic
"The attribute has hardcoded values of >= 7Days <14Days, < 5hrs, >= Day <3Days, >= 21Days <31Days, Unknown.",Uncategorized
Direct Mapping to StartDateTime column in SLAEvents table coming from DFM Events data processed by Cornerstone source having Timestamp(UTC)values.,Missing source info
Direct mapping to SupportAreaName column in SupportRequestDetails_NRT intermediate table having String values (refer entity desc for SupportRequestDetails_NRT table derivation).,Missing source info
Direct Mapping to AssignedTo column in EscalationTask table coming from DFM Events data processed by Cornerstone having string values.,Missing source info
Direct Mapping to Resolution column in SupportRequestDetailsSIPv2 Table coming from Rave data processed by Amplify Source having string values .,Missing source info
Direct Mapping to EnqueuedTimeUtc column in KPI table coming from DFM Events data processed by Cornerstone having timestamp values in UTC.,Missing source info
Direct Mapping to EventType  column in Labor table coming from DFM Events data processed by Cornerstone having String values.,Missing source info
"Derived by applying decode logic on column SLAExpiresTime and SLACompletedTime in SLAEvents table.
Logic: Computes the time difference in minutes between SLAExpiresTime and SLACompletedTime or the current timestamp if SLACompletedTime is null.",Transformation logic
Direct Mapping to AzureSubscriptionId column in Cases table coming from DFM Events data processed by Cornerstone having string values ,Missing source info
Direct Mapping to EntityAction  column in SlaItem table coming from DFM Events data processed by Cornerstone having String values .,Missing source info
Direct Mapping to StateAnnotation column in FollowUpTask table coming from DFM Events data processed by Cornerstone having string values.,Missing source info
Direct Mapping to EntityURI (Entity  Universal Resource Identifier)  column in PhoneInteraction table coming from DFM Events data processed by Cornerstone having string values.,Missing source info
Direct Mapping to EnqueuedTimeUtc  column in Labor table coming from DFM Events data processed by Cornerstone having timestamp values in UTC,Missing source info
"Derived by applying decode logic on State, StateLastUpdatedDateTime and CreatedDateTime columns in Cases table coming from DFM Events data processed by Cornerstone source.
Logic:  When State ='Open' it calculates the difference in minutes between Current Timestamp and CreatedDateTime column in Cases table.
              When State ='Closed' it calculates the difference in minutes between StateLastUpdatedDateTime and CreatedDateTime columns in Cases table.
               If the result when either of the above conditions met it assign 1 else it assign 0 when any of the DateTime column is null.",Transformation logic
Direct mapping to CreateDateTime column in CustomerScheduledCallbackTime table coming from Amplify source having Timestamp(UTC) values.,Missing source info
"Derived by applying decode logic on MinutesPastSLA column in FactSREvents.
Logic: Categorizes MinutesPastSLA into predefined time ranges with corresponding labels.",Transformation logic
Direct Mapping to id column in FollowUpTask table coming from DFM Events data processed by Cornerstone having string values.,Missing source info
Direct mapping to CaseNumber  column in Cases table coming from DFM Events data processed by Cornerstone having integer values.,Missing source info
Direct Mapping to AgentIdLastUpdatedOn column in CollaborationTask table coming from DFM Events data processed by Cornerstone having string values.,Missing source info
This is reference key to the DimScopeAgeSpan to get more details about ScopeAgeSpan.This key is populated by joining ScopeAgeSpan column in Factsupportdata coming from Commercial NRT Datamart within SA&DP with ScopeAgeSpan column in DimScopeAgeSpan coming from Commercial NextDay Datamart within SA&DP.,Conditions of join
Direct Mapping to UpdatedAttributes column in Cases table coming from DFM Events data processed by Cornerstone having String values ,Missing source info
"Derived attribute of datatype int based on CreatedDateTime column in Cases table from DFM data processed by Cornerstone. It is joined using SRNumber from both FactSupportData and Cases table.
Logic: Calculates the number of seconds passed since the start of the day (midnight) for a given CreatedDateTime and rounds it up to the nearest 30-minute interval before subtracting 1 second.",Transformation logic
"Derived by applying decode logic on SRCreationDateTime in FactSREvents from Commercial NRT Datamart within SA&DP source.
Logic: Assigns a region based on hour ranges.",Transformation logic
Direct Mapping to RoutingContextId  column in CollaborationTask table coming from DFM Events data processed by Cornerstone having integer values.,Missing source info
Direct Mapping to AgentIdentifiedRootCauseId  column in Cases table coming from DFM Events data processed by Cornerstone having integer values.,Missing source info
"Derived by applying decode logic on ProgramType column in Cases table coming from DFM Events data processed by Cornerstone source having string values.
Logic : CASE When ProgramType = %csscsd% then hardcoded as true else false.",Transformation logic
Direct Mapping to EnqueuedTimeUtc column in FollowUpTask table coming from DFM Events data processed by Cornerstone having timestamp values in UTC.,Missing source info
Direct mapping to StateLastUpdatedDateTime column in Cases table coming from DFM Events data processed by Cornerstone having Timestamp(UTC)values.,Missing source info
Direct Mapping to UpdatedOn column in EmailInteraction table coming from DFM Events data processed by Cornerstone having timestamp values in UTC.,Missing source info
Direct Mapping to SAPId (Support Area Path Id) column in Cases table coming from DFM Events data processed by Cornerstone having String values ,Missing source info
Timestamp(UTC) at which record is updated by ETL process in UDP NRT,Uncategorized
"Derived by applying decode logic based on Rating column  in SupportRequestDetailsSIPv2 Table  loaded from Rave data processed by Amplify source.
Logic: If Rating = 5 THEN hardcoded as 200 ,Rating = 4 THEN hardcoded as 100 ,If Rating = 3 THEN hardcoded as 100, If Rating = 2 THEN hardcoded as 0 ,If Rating = 1 then hardcoded as 0 else null end as CSATscore.",Transformation logic
Direct Mapping to AssignedToAssignedCount column in EscalationTask table coming from DFM Events data processed by Cornerstone having timestamp values in UTC.,Missing source info
"Derived attribute of datatype boolean based on StateAnnotation column in Cases table coming from DFM Events data processed by  Cornerstone.
 Logic:When StateAnnotation IN ('troubleshooting') then True else Flase.",Transformation logic
"Derived by applying decode logic on column Severity loaded from Cases table from DFM Events data processed by Cornerstone.
Logic: Selects the first value of Severity column by grouping on SRNumber and ordering by EventDateTime.",Transformation logic
Direct Mapping to RootCause column coming inCases Table coming from DFM Events data processed by Cornerstone source having string values.,Missing source info
"Derived by applying decode logic on QueueName and PreviousRoutingQueueName columns in DimQueue coming from Commercial NextDay Datamart within SA&DP and SREvents table coming from Commercial NRT Datamart within SA&DP.
Logic: It converts either ""QueueName"" or ""PreviousRoutingQueueName"" to a string, if both are null it assign 'Unknown'.",Transformation logic
"Derived by applying decode logic on ServiceName_ARRS,ServicePackageSKU_ARRS,ServicePackageName_ARRSP, Severity  columns in FactSRSupportData table coming from Commercial NRT Datamart within SA&DP and CommercialProductLevel3Name column in DimPESProduct table coming from Commercial NextDay Datamart within SA&DP.

Logic: WHEN ServiceName_ARRS AND ServicePackageSKU_ARRS IS NOT NULL AND CommercialProductLevel3Name = 'azure tech' THEN 'ARR_PMC' 
WHEN ServicePackageName_ARRSP = 'arr critical prh' AND Severity IN ( '1' ,'2','a') AND CommercialProductLevel3Name = 'azure tech' THEN 'T100'
WHEN ServicePackageName_ARRSP IS NOT NULL AND CommercialProductLevel3Name = 'azure tech' THEN 'ARR Commercial'
ELSE 'Unknown' END AS ARRType",Transformation logic
Direct mapping to CommunicationType  column in SupportRequestPreCommunication table coming from Amplify source having integer values.,Missing source info
Direct Mapping to CaseNumber x from FactSREvents Table coming from Commercial NRT Datamart within SA&DP source having integer values.,Missing source info
"Derived by applying case logic on CustomerType1, CustomerType2, CustomerType3, CustomerIdSource1, CustomerIdSource2, CustomerIdSource3 columns in Cases table coming from DFM Events data processed by Cornerstone source.
logic:If CustomerType1='enterprise' and CustomerIdSource1 not equal to 'unknown' and CustomerIdSource1 is NOT NULL THEN CustomerId1,
           WHEN CustomerType2='enterprise' and CustomerIdSource2 not equal to 'unknown' and CustomerIdSource2 is NOT NULL THEN CustomerId2,
           WHEN CustomerType3='enterprise' and CustomerIdSource3 not equal to 'unknown' and CustomerIdSource3 is NOT NULL THEN CustomerId3,
           END AS TenantId",Transformation logic
Direct Mapping to RoutingContextId column in EscalationTask table coming from DFM Events data processed by Cornerstone having string values.,Missing source info
Direct Mapping to SupportCountry column in Cases table coming from DFM Events data processed by Cornerstone having string values.,Missing source info
"Derived by applying decode logic on StateAnnotation, EventDateTime and CreatedDateTime columns in Cases table coming from DFM Events data processed by Cornerstone.
Logic: IF StateAnnotation is in any of the specified values ('identifying the issue', 'identifying issue', 'scope'), it returns the EventDateTime from cases table otherwise, it returns NULL.",Transformation logic
"Reference Key to the DimCauseType table is used to get more details about CauseTypeKey, populated by joining CauseType column in Cases table with CauseType column in the DimCauseType table.",Conditions of join
Direct mapping to OrganizationId column in SupportRequestDetails_NRT intermediate table having String  values (refer entity desc for SupportRequestDetails_NRT table derivation).,Missing source info
"Derived by applying decode logic on IsEUSchrems column in KPI table loaded from DFM Events data processed by Cornerstone.
Logic: If  IsEUSchrems =  'eu' THEN TRUE ELSE FALSE END AS IsEUSchrems",Transformation logic
Direct Mapping to UpdatedAttributes column in FollowUpTask table coming from DFM Events data processed by Cornerstone having string values.,Missing source info
Direct Mapping to ProactiveScenario column in SupportRequestDetailsSIPv2 Table coming from Rave data processed by Amplify Source having String values.,Missing source info
Direct Mapping to LastUpdatedTime column in SupportRequestDetailsSIPv2 Table coming from Rave data processed by Amplify Source having timestamp values in UTC.,Missing source info
"Derived by applying decode logic CompletedDateTime,Type and CreatedDateTime columns in Cases table coming from DFM Events data processed by Cornerstone.
Logic: It calculates  minute difference between CompletedDateTime and CreatedDateTime columns When Type = 'InitialResponse' in Cases table.",Transformation logic
Direct Mapping to RequestAge_Days column in SupportRequestDetailsSIPv2 Table coming from Rave data processed by Amplify Source having  integer values.,Missing source info
Direct mapping to ServicePackageSKU column coming from DimARRService table.,Missing source info
Direct Mapping to UpdatedOn column in CollaborationTask table coming from DFM Events data processed by Cornerstone having timestamp values in UTC.,Missing source info
Direct Mapping to EntityType column in EmailInteraction table coming from DFM Events data processed by Cornerstone having string values.,Missing source info
Direct Mapping to SubscriptionType columns from  SupportRequestDetailsSIPv2 Table coming from Rave data processed by Amplify Source having  integer  values.,Missing source info
Direct Mapping to AppliedActionId column in SupportRequestDetailsSIPv2 Table coming from Rave data processed by Amplify Source having integer values.,Missing source info
Direct Mapping to SAPId (Support Area Path Id) column in FollowUpTask table coming from DFM Events data processed by Cornerstone having integer values.,Missing source info
Direct Mapping to IsSRServiceImpactingEvent column in FactSREvents table coming from Commercial NRT Datamart within SA&DP having boolean values.,Missing source info
"Derived by applying decode logic on State, StateLastUpdatedDateTime and CreatedDateTime columns in Cases table coming from DFM Events data processed by Cornerstone source.
Logic:  When State ='Open' it calculates the difference in hours between Current Timestamp and CreatedDateTime column in Cases table.
               When State ='Closed' it calculates the difference in hours between StateLastUpdatedDateTime and CreatedDateTime columns in Cases table.
                If the result when either of the above conditions met it assign 1 else it assign 0 when any of the DateTime column is null.",Transformation logic
Direct Mapping to UpdatedBy column in CollaborationTask table coming from DFM Events data processed by Cornerstone having string values.,Missing source info
"This logic derives a value by applying decode logic on KPIState column in the DimKPIState table and State, Name, and SRNumber columns in the KPIFlash intermediate table. The process includes joining DimKPIState and KPIFLASH, and using conditional checks to determine the final value of KPIStateKey.",Transformation logic
Direct Mapping to ServiceName column in DimServiceOfferingMaster table coming from Commercial NextDay Datamart within SA&DP source having string values.,Missing source info
Direct mapping to AgentId column in Cases table coming from DFM Events data processed by Cornerstone having integer values.,Missing source info
"This attribute has static values ('Unknown', 'Critical') provided by Commercial Business and uploaded via flat file.",Uncategorized
Direct Mapping to SupportTimeZone column in Cases table coming from DFM Events data processed by Cornerstone having String values ,Missing source info
Direct Mapping to OriginatingSystem column in Cases table coming from DFM Events data processed by Cornerstone having String values ,Missing source info
Direct Mapping to IsForceSyncEvent column in Cases table coming from DFM Events data processed by Cornerstone having Boolean values ,Missing source info
Timestamp in UTC at which record is updated by ETL process in UDP,Uncategorized
Direct mapping to CreatedDateTime column in SupportRequestDetails_NRT intermediate table having  timestamp(UTC) values (refer entity desc for SupportRequestDetails_NRT table derivation).,Missing source info
"Derived by applying decode logic on column MinutesPastSLA from FactSREvents from Commercial NRT Datamart within SA&DP source.
Logic: It evaluates the value of MinutesPastSLA and assigns a priority level based on different conditions.",Transformation logic
Direct mapping to Is24X7OptedIn column in Cases table coming  from DFM Events data processed by Cornerstone source  having boolean values.,Missing source info
Direct mapping to FiscalWeekOfMonth column in DimTime table coming from Commercial NextDay Datamart within SA&DP having string values.,Missing source info
Direct Mapping to KPIState column in DimKPIState table coming from Commercial NRT Datamart within SA&DP having boolean values.,Missing source info
Direct Mapping to ResolutionOutcome column in SupportRequestDetailsSIPv2 Table coming from Rave data processed by Amplify Source having string values,Missing source info
Direct Mapping to ExternalCaseId column in Cases table coming from DFM Events data processed by Cornerstone having string values ,Missing source info
Direct Mapping to Theme column in vw_SupportTickets Table coming from Rave data processed by Amplify Source having String  values.,Missing source info
Direct Mapping to StartsOn column in FollowUpTask table coming from DFM Events data processed by Cornerstone having timestamp values in UTC.,Missing source info
Direct Mapping to AgentId column in Cases table coming from DFM Events data processed by Cornerstone having string values ,Missing source info
Direct mapping to SupportTicketId in IncidentsSnapshotV2 table from ICMDataWarehouse source having integer values.,Missing source info
"Derived column in Commercial NRT using AgentId, RoutingContextId and SRNumber columns in EscalationTask table coming from DFM Events data processed by Cornerstone. 
Step1- RoutingContextId will have value only for the EscalationTask Event table where the routing is done.
Step2- As soon as the case is assigned to an AgentId, that case will disapper from the queue which means the RoutingContextId will be null. 
Step3- PreviousRoutingContextId is introduced to retain previous RoutingContextId that the SRNumber was in.",Uncategorized
Direct Mapping to CreatedOn column in FollowUpTask table coming from DFM Events data processed by Cornerstone having timestamp values in UTC.,Missing source info
Direct mapping to IsCritSit column in Cases table coming from DFM Events data processed by Cornerstone source having boolean values.,Missing source info
Direct Mapping to EventDateTime column in PhoneInteraction table coming from DFM Events data processed by Cornerstone having timestamp values in UTC.,Missing source info
Direct mapping to InternalTitle column in Cases table coming from DFM Events data processed by Cornerstone source having string values.,Missing source info
Direct Mapping to SupportAreaName column in  SupportRequestDetailsSIPv2 Table coming from Rave data processed by Amplify Source having String values.,Missing source info
Direct Mapping to ReopenedPath of column in SupportRequestDetailsSIPv2 table from Rave data processed by Amplify Source  having String values.,Missing source info
Direct Mapping to RootCause column coming inCases Table coming from DFM Events data processed by Cornerstone source having string values.,Missing source info
"Derived by applying decode logic based on StateAnnotation, CreatedDateTime  columns in Cases table coming from DFM Events data processed by Cornerstone source having boolean values.
Logic : CASE 
STEP 1: WHEN StateAnnotation NOT IN ('identifying the issue','identifying issue','scope')  THEN we take difference in hours between Current Timestamp and CreatedDateTime 
STEP 2 : if the difference from Step1 is greater than 24 then it assign 1 else 0. 
",Transformation logic
"This is reference key to the DimPhase table to get more details abour Phase. This key is populated by joining Phase column in FactSRSupportData table with Phase column in Cases table, both the tables comng from Commercial NRT Datamart within SA&DP.",Conditions of join
Direct Mapping to CaseNumber column in CollaborationTask table coming from DFM Events data processed by Cornerstone having string values.,Missing source info
Direct Mapping to LateReason  column in Labor table coming from DFM Events data processed by Cornerstone having String values.,Missing source info
